EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
563,2.909056,2.809402,2.926998
564,2.909133,2.809402,2.925564
565,2.909427,2.806534,2.926998
566,2.909523,2.807968,2.928432
567,2.909683,2.810836,2.928432
568,2.909405,2.807968,2.928432
569,2.909291,2.809402,2.926998
570,2.90942,2.809402,2.926998
571,2.909297,2.809402,2.928432
572,2.909278,2.810836,2.925564
573,2.909281,2.807968,2.928432
574,2.909281,2.807968,2.928432
575,2.909291,2.810836,2.928432
576,2.909545,2.809402,2.928432
577,2.909346,2.806534,2.928432
578,2.909406,2.807968,2.926998
579,2.909455,2.807968,2.926998
580,2.909165,2.807968,2.929866
581,2.908764,2.809402,2.926998
582,2.908806,2.807968,2.926998
583,2.909016,2.809402,2.926998
584,2.909075,2.807968,2.926998
585,2.908952,2.809402,2.926998
586,2.909171,2.810836,2.926998
587,2.909074,2.809402,2.926998
588,2.908931,2.809402,2.926998
589,2.90885,2.805099,2.928432
590,2.909253,2.805099,2.926998
591,2.909207,2.807968,2.926998
592,2.909056,2.810836,2.926998
593,2.909217,2.809402,2.926998
594,2.909117,2.806534,2.926998
595,2.909425,2.809402,2.926998
596,2.909256,2.807968,2.925564
597,2.909195,2.805099,2.926998
598,2.909609,2.809402,2.928432
599,2.909576,2.810836,2.929866
600,2.909465,2.809402,2.925564
601,2.909337,2.809402,2.928432
602,2.909225,2.809402,2.926998
603,2.909,2.807968,2.928432
604,2.90961,2.807968,2.928432
605,2.90956,2.810836,2.929866
606,2.909516,2.810836,2.926998
607,2.909302,2.806534,2.928432
608,2.909132,2.810836,2.928432
609,2.909297,2.807968,2.926998
610,2.909265,2.809402,2.926998
611,2.909153,2.807968,2.925564
612,2.909008,2.809402,2.928432
613,2.909071,2.802231,2.926998
614,2.909374,2.809402,2.926998
615,2.90943,2.806534,2.926998
616,2.909465,2.809402,2.926998
617,2.909235,2.807968,2.928432
618,2.909191,2.806534,2.928432
619,2.909216,2.805099,2.926998
620,2.909457,2.809402,2.929866
621,2.909258,2.809402,2.926998
622,2.909281,2.809402,2.928432
623,2.909305,2.806534,2.926998
624,2.909372,2.810836,2.928432
625,2.909655,2.809402,2.928432
626,2.909569,2.809402,2.926998
627,2.909655,2.809402,2.928432
628,2.909472,2.807968,2.926998
629,2.90953,2.809402,2.928432
630,2.909443,2.806534,2.926998
631,2.909606,2.806534,2.926998
632,2.909395,2.807968,2.925564
633,2.908775,2.806534,2.926998
634,2.908997,2.809402,2.926998
635,2.909057,2.806534,2.925564
636,2.909342,2.809402,2.926998
637,2.909613,2.810836,2.928432
638,2.909525,2.810836,2.929866
639,2.909679,2.807968,2.926998
640,2.909638,2.807968,2.928432
641,2.90968,2.809402,2.929866
642,2.909351,2.809402,2.928432
643,2.909357,2.807968,2.9313
644,2.909323,2.810836,2.928432
645,2.909644,2.807968,2.926998
646,2.909477,2.809402,2.926998
647,2.909446,2.807968,2.929866
648,2.909665,2.807968,2.925564
649,2.909343,2.806534,2.928432
650,2.909689,2.810836,2.926998
651,2.909599,2.807968,2.926998
652,2.90954,2.807968,2.928432
653,2.90937,2.809402,2.929866
654,2.909264,2.806534,2.926998
655,2.909524,2.807968,2.926998
656,2.909617,2.807968,2.929866
657,2.909479,2.809402,2.928432
658,2.909564,2.810836,2.926998
659,2.909463,2.806534,2.925564
660,2.909464,2.807968,2.926998
661,2.909572,2.806534,2.928432
662,2.909532,2.810836,2.929866
663,2.909342,2.810836,2.926998
664,2.909361,2.809402,2.928432
665,2.90938,2.809402,2.928432
666,2.909527,2.810836,2.926998
667,2.90942,2.809402,2.929866
668,2.909331,2.809402,2.928432
669,2.909182,2.807968,2.926998
670,2.909148,2.809402,2.926998
671,2.909564,2.807968,2.928432
672,2.909156,2.807968,2.926998
673,2.909038,2.806534,2.926998
674,2.909355,2.807968,2.926998
675,2.909453,2.807968,2.929866
676,2.909677,2.807968,2.928432
677,2.909286,2.809402,2.926998
678,2.909284,2.809402,2.926998
679,2.909359,2.809402,2.926998
680,2.909268,2.806534,2.925564
681,2.909105,2.809402,2.926998
682,2.908958,2.806534,2.925564
683,2.909616,2.810836,2.926998
684,2.909561,2.809402,2.926998
685,2.90938,2.806534,2.926998
686,2.909335,2.809402,2.928432
687,2.909277,2.809402,2.926998
688,2.909079,2.806534,2.928432
689,2.909386,2.809402,2.928432
690,2.909179,2.809402,2.926998
691,2.909362,2.807968,2.926998
692,2.9094,2.810836,2.926998
693,2.909495,2.809402,2.926998
694,2.909369,2.807968,2.928432
695,2.90942,2.809402,2.928432
696,2.909005,2.810836,2.926998
697,2.90894,2.809402,2.928432
698,2.908827,2.805099,2.928432
699,2.909076,2.806534,2.928432
700,2.908881,2.809402,2.926998
701,2.908653,2.807968,2.928432
702,2.908722,2.809402,2.925564
703,2.908902,2.809402,2.926998
704,2.909233,2.806534,2.926998
705,2.909129,2.809402,2.926998
706,2.909117,2.807968,2.926998
707,2.909105,2.809402,2.928432
708,2.908926,2.806534,2.926998
709,2.909124,2.809402,2.928432
710,2.908944,2.806534,2.928432
711,2.909173,2.807968,2.925564
712,2.909271,2.807968,2.929866
713,2.909354,2.809402,2.926998
714,2.909148,2.807968,2.926998
715,2.908716,2.807968,2.925564
716,2.908981,2.807968,2.926998
717,2.909019,2.807968,2.928432
718,2.909117,2.809402,2.926998
719,2.909289,2.807968,2.925564
720,2.90936,2.807968,2.928432
721,2.90916,2.809402,2.925564
722,2.909281,2.809402,2.926998
723,2.908939,2.809402,2.928432
724,2.908789,2.807968,2.926998
725,2.908851,2.807968,2.928432
726,2.909247,2.809402,2.928432
727,2.908903,2.810836,2.926998
728,2.909226,2.807968,2.928432
