EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
494,2.993703,2.701844,3.015912
495,2.993913,2.706147,3.017346
496,2.993515,2.701844,3.014478
497,2.993266,2.704713,3.015912
498,2.993132,2.703279,3.014478
499,2.993154,2.703279,3.014478
500,2.992794,2.701844,3.015912
501,2.992655,2.704713,3.014478
502,2.992542,2.701844,3.014478
503,2.992215,2.704713,3.014478
504,2.992254,2.703279,3.013044
505,2.992033,2.701844,3.014478
506,2.991668,2.701844,3.013044
507,2.991546,2.701844,3.014478
508,2.991078,2.70041,3.013044
509,2.990788,2.70041,3.013044
510,2.9907,2.70041,3.01161
511,2.990644,2.698976,3.01161
512,2.990472,2.698976,3.014478
513,2.990192,2.697542,3.01161
514,2.990145,2.701844,3.013044
515,2.990614,2.701844,3.01161
516,2.990232,2.698976,3.010176
517,2.98987,2.70041,3.01161
518,2.989512,2.701844,3.01161
519,2.989639,2.698976,3.01161
520,2.989542,2.696108,3.010176
521,2.989491,2.70041,3.01161
522,2.989368,2.701844,3.01161
523,2.989124,2.698976,3.01161
524,2.988917,2.697542,3.010176
525,2.988685,2.697542,3.01161
526,2.988752,2.698976,3.013044
527,2.988828,2.70041,3.010176
528,2.988462,2.697542,3.013044
529,2.988234,2.70041,3.008742
530,2.988348,2.70041,3.010176
531,2.988276,2.696108,3.008742
532,2.987789,2.697542,3.008742
533,2.987556,2.698976,3.008742
534,2.987454,2.697542,3.010176
535,2.987251,2.696108,3.008742
536,2.987446,2.698976,3.008742
537,2.987565,2.698976,3.013044
538,2.987153,2.70041,3.008742
539,2.986827,2.698976,3.008742
540,2.986561,2.698976,3.008742
541,2.986515,2.698976,3.007308
542,2.986479,2.697542,3.007308
543,2.98587,2.697542,3.008742
544,2.985887,2.696108,3.007308
545,2.986024,2.698976,3.008742
546,2.98616,2.697542,3.007308
547,2.985758,2.69324,3.007308
548,2.985737,2.69324,3.007308
549,2.9856,2.697542,3.008742
550,2.985197,2.696108,3.007308
551,2.985458,2.696108,3.005873
552,2.985229,2.696108,3.007308
553,2.984965,2.697542,3.005873
554,2.984981,2.69324,3.007308
555,2.984637,2.696108,3.008742
556,2.984577,2.694674,3.005873
557,2.984647,2.696108,3.005873
558,2.984323,2.696108,3.005873
559,2.98433,2.697542,3.005873
560,2.983488,2.69324,3.005873
561,2.983242,2.69324,3.005873
562,2.983271,2.696108,3.004439
563,2.983634,2.69324,3.004439
564,2.983444,2.696108,3.005873
565,2.983071,2.69324,3.007308
566,2.982847,2.694674,3.007308
567,2.982616,2.694674,3.004439
568,2.98256,2.69324,3.005873
569,2.982312,2.69324,3.004439
570,2.982235,2.69324,3.003005
571,2.982381,2.691806,3.005873
572,2.982136,2.694674,3.004439
573,2.981854,2.691806,3.003005
574,2.982012,2.694674,3.004439
575,2.981689,2.691806,3.003005
576,2.98145,2.691806,3.003005
577,2.980823,2.69324,3.001571
578,2.980809,2.694674,3.001571
579,2.980816,2.694674,3.003005
580,2.98098,2.694674,3.003005
581,2.980682,2.691806,3.003005
582,2.980329,2.69324,3.003005
583,2.980067,2.694674,3.001571
584,2.980414,2.691806,3.003005
585,2.98029,2.69324,3.001571
586,2.980208,2.69324,3.001571
587,2.980068,2.69324,3.001571
588,2.979557,2.691806,3.003005
589,2.97958,2.691806,3.001571
590,2.979481,2.69324,3.001571
591,2.979251,2.688937,3.001571
592,2.979365,2.691806,3.001571
593,2.97956,2.69324,3.001571
594,2.979576,2.69324,3.001571
595,2.979309,2.691806,3.000137
596,2.978688,2.691806,3.000137
597,2.978488,2.691806,3.000137
598,2.978625,2.691806,3.000137
599,2.978607,2.688937,3.000137
600,2.978537,2.69324,3.000137
601,2.977994,2.690372,2.998703
602,2.977634,2.688937,3.000137
603,2.977782,2.688937,3.000137
604,2.977665,2.688937,2.998703
605,2.977335,2.688937,3.000137
606,2.977115,2.688937,2.998703
607,2.977209,2.687503,2.998703
608,2.977021,2.690372,3.000137
609,2.977295,2.688937,2.998703
610,2.977197,2.688937,2.998703
611,2.977099,2.688937,3.000137
612,2.976924,2.687503,2.998703
613,2.976898,2.690372,2.998703
614,2.976838,2.691806,2.998703
615,2.976783,2.687503,2.998703
616,2.976016,2.688937,2.997269
617,2.975486,2.686069,2.997269
618,2.975801,2.688937,2.998703
619,2.975503,2.687503,2.997269
620,2.975317,2.688937,2.997269
621,2.974939,2.688937,2.997269
622,2.975062,2.687503,2.995835
623,2.974575,2.687503,2.995835
624,2.974586,2.688937,2.997269
625,2.974393,2.686069,2.995835
626,2.974188,2.688937,2.998703
627,2.974071,2.687503,2.994401
628,2.97386,2.688937,2.997269
629,2.974052,2.688937,2.995835
630,2.973833,2.687503,2.995835
631,2.973532,2.686069,2.995835
632,2.973161,2.688937,2.994401
633,2.973141,2.684635,2.994401
634,2.973094,2.686069,2.995835
635,2.972871,2.687503,2.995835
636,2.973062,2.686069,2.994401
637,2.972846,2.688937,2.995835
638,2.972532,2.687503,2.994401
639,2.972397,2.684635,2.994401
640,2.972671,2.686069,2.992967
641,2.97261,2.686069,2.994401
642,2.972612,2.686069,2.995835
643,2.972694,2.684635,2.994401
644,2.972334,2.683201,2.994401
645,2.972244,2.687503,2.995835
646,2.972183,2.686069,2.992967
647,2.971911,2.684635,2.992967
648,2.971762,2.686069,2.992967
649,2.971663,2.684635,2.994401
650,2.971502,2.684635,2.994401
651,2.971756,2.686069,2.992967
652,2.971809,2.684635,2.994401
653,2.971334,2.686069,2.992967
654,2.971177,2.684635,2.992967
655,2.97117,2.686069,2.994401
656,2.971285,2.681767,2.992967
657,2.971084,2.683201,2.992967
658,2.970972,2.683201,2.992967
659,2.970666,2.681767,2.992967
660,2.970444,2.683201,2.991533
661,2.970395,2.683201,2.992967
662,2.970055,2.684635,2.992967
663,2.969943,2.686069,2.991533
664,2.969853,2.684635,2.991533
665,2.969697,2.683201,2.991533
666,2.969549,2.684635,2.992967
667,2.969723,2.683201,2.991533
668,2.969593,2.683201,2.990098
669,2.969505,2.684635,2.991533
670,2.96964,2.683201,2.991533
671,2.969494,2.683201,2.990098
672,2.969561,2.683201,2.992967
673,2.969851,2.680333,2.992967
674,2.969526,2.683201,2.991533
675,2.969453,2.684635,2.990098
676,2.96917,2.683201,2.991533
677,2.968994,2.683201,2.990098
678,2.968399,2.681767,2.991533
679,2.968685,2.681767,2.990098
680,2.968663,2.683201,2.991533
681,2.968322,2.681767,2.990098
682,2.968165,2.683201,2.990098
683,2.967845,2.681767,2.988664
684,2.967694,2.681767,2.990098
685,2.967638,2.681767,2.988664
686,2.96765,2.681767,2.988664
687,2.967744,2.681767,2.990098
688,2.967767,2.683201,2.988664
689,2.967651,2.681767,2.990098
690,2.967541,2.683201,2.988664
691,2.967452,2.681767,2.988664
692,2.967298,2.681767,2.988664
693,2.967171,2.683201,2.98723
694,2.966775,2.680333,2.990098
695,2.966675,2.678899,2.98723
696,2.966561,2.681767,2.98723
697,2.966485,2.681767,2.988664
698,2.96675,2.680333,2.98723
699,2.966623,2.681767,2.98723
