EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
684,3.153736,2.952812,3.1794
685,3.153917,2.954246,3.1794
686,3.153617,2.948509,3.1794
687,3.15381,2.954246,3.1794
688,3.153722,2.954246,3.180834
689,3.15365,2.951378,3.180834
690,3.153522,2.951378,3.177966
691,3.153727,2.951378,3.1794
692,3.153851,2.952812,3.1794
693,3.153834,2.952812,3.180834
694,3.153836,2.952812,3.1794
695,3.153777,2.951378,3.1794
696,3.153466,2.949944,3.177966
697,3.153379,2.952812,3.180834
698,3.153515,2.952812,3.1794
699,3.1536,2.954246,3.182268
700,3.153349,2.951378,3.1794
701,3.153507,2.952812,3.177966
702,3.153784,2.95568,3.180834
703,3.153332,2.952812,3.1794
704,3.15305,2.951378,3.182268
705,3.153176,2.949944,3.182268
706,3.153047,2.95568,3.1794
707,3.153204,2.951378,3.1794
708,3.153064,2.952812,3.177966
709,3.153333,2.952812,3.1794
710,3.153275,2.947075,3.180834
711,3.153504,2.954246,3.177966
712,3.153346,2.951378,3.177966
713,3.153401,2.951378,3.1794
714,3.152873,2.951378,3.1794
715,3.152863,2.952812,3.177966
716,3.152707,2.951378,3.177966
717,3.153069,2.951378,3.176532
718,3.153099,2.954246,3.177966
719,3.153159,2.954246,3.177966
720,3.153274,2.952812,3.1794
721,3.153164,2.951378,3.180834
722,3.153259,2.952812,3.1794
723,3.153079,2.952812,3.176532
724,3.153069,2.954246,3.1794
725,3.152901,2.952812,3.177966
726,3.152717,2.957114,3.177966
727,3.152614,2.949944,3.180834
728,3.152515,2.952812,3.1794
